nama,rating,isi_review
Kesia Fani Pancaraningtyas,5,"Parkir luas, jajanan banyak, bisa renank with view. Wow, wow, wow..."
Ken Padmasari,5,
Mr R,4,
chrisstar dini sukoco,5,"Tempat keren , kolam diatas bukit"
Su Parko,4,Mantab
val shinoa (val),5,
YUSUF DHU uchup,5,"Harus dengan motor yang sehat wal afiat..
Bagus pemandangannya 😍
Cek IG ku aja @uchupdhu …"
Novi Adianto,5,
Jihan Puspita,5,
Yayuk Ayuk,4,Jalan nya curam dan naik turun.
