nama,rating,isi_review
ANTONIUS DWI SETYO BUDI,5,
Reko Joyo,1,"Jadikan wisata di setiap daerah itu yg menarik yang bersih yg sehat
Diadakan lomba dan acara hiburan rakyat spy memikat konsumen"
Gunawan Wibisono,5,
Abdur Rouf,5,Nyaman dan enak bgt
Dhoiyhok M,5,"Bagus tempatnya, nyaman dan banyak edukasi yang didapatkan"
linkaride,5,Nivea
Mar Yanti,2,
Prasetyo Budi Utomo,5,
Vendy Ramadhan,5,Mantab
agung afghan,5,
