nama,rating,isi_review
Amin Subandriyah,5,
Eko Yulianto,5,
Latifa Zulfa,5,
syaid azhari,5,Masjid yang bagus dan indah..
Yassin Kurniawan,5,cepat rapi murah
Erika Kurniawan,5,Masjid jami letak strategis parkir luas dan nyaman
Endang Gunawan,5,
Choirul Bahri,5,Keren
edy purnomo,5,Megah sekali.. Bersih... Sejuk dan Nyaman...
ST Laila Ms,5,
